timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:17:04.464, NVIDIA RTX A6000, 43 %, 4 %, 49140 MiB, 47067 MiB, 1606 MiB
2024/10/01 15:17:04.564, NVIDIA RTX A6000, 43 %, 4 %, 49140 MiB, 48339 MiB, 334 MiB
2024/10/01 15:17:04.664, NVIDIA RTX A6000, 62 %, 11 %, 49140 MiB, 47315 MiB, 1358 MiB
2024/10/01 15:17:04.764, NVIDIA RTX A6000, 62 %, 11 %, 49140 MiB, 45651 MiB, 3022 MiB
2024/10/01 15:17:04.864, NVIDIA RTX A6000, 52 %, 7 %, 49140 MiB, 47623 MiB, 1050 MiB
2024/10/01 15:17:04.965, NVIDIA RTX A6000, 52 %, 7 %, 49140 MiB, 48295 MiB, 378 MiB
2024/10/01 15:17:05.065, NVIDIA RTX A6000, 54 %, 9 %, 49140 MiB, 46631 MiB, 2042 MiB
2024/10/01 15:17:05.165, NVIDIA RTX A6000, 54 %, 9 %, 49140 MiB, 45729 MiB, 2944 MiB
2024/10/01 15:17:05.265, NVIDIA RTX A6000, 59 %, 9 %, 49140 MiB, 48175 MiB, 498 MiB
2024/10/01 15:17:05.365, NVIDIA RTX A6000, 59 %, 9 %, 49140 MiB, 47227 MiB, 1446 MiB
2024/10/01 15:17:05.466, NVIDIA RTX A6000, 47 %, 6 %, 49140 MiB, 46715 MiB, 1958 MiB
2024/10/01 15:17:05.566, NVIDIA RTX A6000, 47 %, 6 %, 49140 MiB, 46107 MiB, 2566 MiB
2024/10/01 15:17:05.666, NVIDIA RTX A6000, 66 %, 11 %, 49140 MiB, 48331 MiB, 342 MiB
2024/10/01 15:17:05.766, NVIDIA RTX A6000, 40 %, 4 %, 49140 MiB, 48331 MiB, 342 MiB
2024/10/01 15:17:05.866, NVIDIA RTX A6000, 40 %, 4 %, 49140 MiB, 48331 MiB, 342 MiB
2024/10/01 15:17:05.967, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48331 MiB, 342 MiB
2024/10/01 15:17:06.067, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:17:06.167, NVIDIA RTX A6000, 0 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
2024/10/01 15:17:06.267, NVIDIA RTX A6000, 4 %, 0 %, 49140 MiB, 48671 MiB, 2 MiB
