timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:21:03.477, NVIDIA RTX A6000, 100 %, 36 %, 49140 MiB, 43991 MiB, 4682 MiB
2024/10/01 15:21:03.577, NVIDIA RTX A6000, 100 %, 36 %, 49140 MiB, 43527 MiB, 5146 MiB
2024/10/01 15:21:03.678, NVIDIA RTX A6000, 100 %, 32 %, 49140 MiB, 43337 MiB, 5336 MiB
2024/10/01 15:21:03.778, NVIDIA RTX A6000, 100 %, 32 %, 49140 MiB, 43165 MiB, 5508 MiB
2024/10/01 15:21:03.878, NVIDIA RTX A6000, 93 %, 8 %, 49140 MiB, 42483 MiB, 6190 MiB
2024/10/01 15:21:03.978, NVIDIA RTX A6000, 93 %, 8 %, 49140 MiB, 43107 MiB, 5566 MiB
2024/10/01 15:21:04.078, NVIDIA RTX A6000, 40 %, 12 %, 49140 MiB, 42819 MiB, 5854 MiB
2024/10/01 15:21:04.178, NVIDIA RTX A6000, 40 %, 12 %, 49140 MiB, 42499 MiB, 6174 MiB
2024/10/01 15:21:04.279, NVIDIA RTX A6000, 55 %, 14 %, 49140 MiB, 42293 MiB, 6380 MiB
2024/10/01 15:21:04.379, NVIDIA RTX A6000, 55 %, 14 %, 49140 MiB, 42163 MiB, 6510 MiB
2024/10/01 15:21:04.479, NVIDIA RTX A6000, 31 %, 4 %, 49140 MiB, 41973 MiB, 6700 MiB
2024/10/01 15:21:04.579, NVIDIA RTX A6000, 31 %, 4 %, 49140 MiB, 46591 MiB, 2082 MiB
2024/10/01 15:21:04.679, NVIDIA RTX A6000, 51 %, 4 %, 49140 MiB, 46591 MiB, 2082 MiB
2024/10/01 15:21:04.779, NVIDIA RTX A6000, 51 %, 4 %, 49140 MiB, 47047 MiB, 1626 MiB
2024/10/01 15:21:04.880, NVIDIA RTX A6000, 32 %, 3 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:04.980, NVIDIA RTX A6000, 32 %, 3 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.080, NVIDIA RTX A6000, 9 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.180, NVIDIA RTX A6000, 9 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.280, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.380, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.481, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.581, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.681, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.781, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:05.881, NVIDIA RTX A6000, 8 %, 1 %, 49140 MiB, 43249 MiB, 5424 MiB
2024/10/01 15:21:05.981, NVIDIA RTX A6000, 8 %, 1 %, 49140 MiB, 36725 MiB, 11948 MiB
2024/10/01 15:21:06.081, NVIDIA RTX A6000, 95 %, 36 %, 49140 MiB, 44455 MiB, 4218 MiB
2024/10/01 15:21:06.182, NVIDIA RTX A6000, 95 %, 36 %, 49140 MiB, 43605 MiB, 5068 MiB
2024/10/01 15:21:06.282, NVIDIA RTX A6000, 100 %, 41 %, 49140 MiB, 43429 MiB, 5244 MiB
2024/10/01 15:21:06.382, NVIDIA RTX A6000, 100 %, 41 %, 49140 MiB, 43257 MiB, 5416 MiB
2024/10/01 15:21:06.482, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42923 MiB, 5750 MiB
2024/10/01 15:21:06.582, NVIDIA RTX A6000, 100 %, 8 %, 49140 MiB, 42279 MiB, 6394 MiB
2024/10/01 15:21:06.682, NVIDIA RTX A6000, 40 %, 8 %, 49140 MiB, 42927 MiB, 5746 MiB
2024/10/01 15:21:06.783, NVIDIA RTX A6000, 40 %, 8 %, 49140 MiB, 42635 MiB, 6038 MiB
2024/10/01 15:21:06.883, NVIDIA RTX A6000, 65 %, 18 %, 49140 MiB, 42383 MiB, 6290 MiB
2024/10/01 15:21:06.983, NVIDIA RTX A6000, 65 %, 18 %, 49140 MiB, 42253 MiB, 6420 MiB
2024/10/01 15:21:07.083, NVIDIA RTX A6000, 30 %, 4 %, 49140 MiB, 41999 MiB, 6674 MiB
2024/10/01 15:21:07.183, NVIDIA RTX A6000, 30 %, 4 %, 49140 MiB, 42151 MiB, 6522 MiB
